ori,ori9,crosswalk_agency_name,census_name,population,fips_state_county_code,state
NC04100,NC0410000,Guilford County Sheriff's Office,Guilford County,130423,37081,NC
OK01402,OK0140200,Norman Police Department,Norman City,130366,40027,OK
TX24605,TX2460500,Round Rock Police Department,Round Rock City,129898,48491,TX
MI47147,MI4714700,Livingston County Sheriff's Office,Livingston County,129813,26093,MI
MO01002,MO0100200,Columbia Police Department,Columbia City,129602,29019,MO
GA02901,GA0290100,Athens-Clarke County Police Dept,Athens-Clarke County Unified Government,129595,13059,GA
MN08600,MN0860000,Wright County Sheriff's Office,Wright County,129359,27171,MN
IL01600,IL0160000,Cook County Sheriff's Office,Cook County,128742,17031,IL
TX22101,TX2210100,Abilene Police Department,Abilene City,128387,48441,TX
CA04400,CA0440000,Santa Cruz County Sheriff's Office,Santa Cruz County,128246,06087,CA
CA04100,CA0410000,San Mateo County Sheriff's Office,San Mateo County,127963,06081,CA
TX02010,TX0201000,Pearland Police Department,Pearland City,127433,48039,TX
CA01001,CA0100100,Clovis Police Department,Clovis City,126552,06019,CA
CA04314,CA0431400,Santa Clara Police Department,Santa Clara City,126452,06085,CA
TX02102,TX0210200,College Station Police Department,College Station City,126136,48041,TX
NC06700,NC0670000,Onslow County Sheriff's Office,Onslow County,125993,37133,NC
NY01451,NY0145100,Amherst Town Police Department,Amherst Town,125647,36029,NY
CA03100,CA0310000,Placer County Sheriff's Office,Placer County,125007,06061,CA
KS08901,KS0890100,Topeka Police Department,Topeka City,124967,20177,KS
PA03901,PA0390100,Allentown Police Department,Allentown City,124782,42077,PA
TN03300,TN0330000,Hamilton County Sheriff's Office,Hamilton County,124372,47065,TN
CA04000,CA0400000,San Luis Obispo County Sheriff's Office,San Luis Obispo County,123488,06079,CA
FL01800,FL0180000,Flagler County Sheriff's Office,Flagler County,123481,12035,FL
CA05609,CA0560900,Simi Valley Police Department,Simi Valley City,123443,06111,CA
FL05312,FL0531200,Lakeland Police Department,Lakeland City,123284,12105,FL
CA05607,CA0560700,Thousand Oaks Pd,Thousand Oaks City,123032,06111,CA
PA015SP,PA015SP00,Sp: Chester County,State Of Pennsylvania,122742,42029,PA
FL05008,FL0500800,West Palm Beach Police Department,West Palm Beach City,122697,12099,FL
NC06502,NC0650200,Wilmington Police Department,Wilmington City,122675,37129,NC
CA04807,CA0480700,Vallejo Police Department,Vallejo City,122419,06095,CA
OH03100,OH0310000,Hamilton County Sheriff's Office,Hamilton County,122218,39061,OH
FL00100,FL0010000,Alachua County Sheriff's Office,Alachua County,122158,12001,FL
MN05501,MN0550100,Rochester Police Department,Rochester City,122035,27109,MN
FL06400,FL0640000,Volusia County Sheriff's Office,Volusia County,121987,12127,FL
MT05601,MT0560100,Billings Police Department,Billings City,121365,30111,MT
LA02803,LA0280300,Lafayette Police Department,Lafayette City-Parish,121361,22055,LA
CA00704,CA0070400,Concord Police Department,Concord City,121331,06013,CA
NC02900,NC0290000,Davidson County Sheriff's Office,Davidson County,120877,37057,NC
CT00064,CT0006400,Hartford Police Department,Hartford City,120710,09003,CT
MO04806,MO0480600,Independence Police Department,Independence City,120326,29095,MO
CO03001,CO0300100,Arvada Police Department,Arvada City,120200,08059,CO
SC01008,SC0100800,North Charleston Police Department,North Charleston City,120162,45019,SC
NY01300,NY0130000,Dutchess County Sheriff's Office,Dutchess County,120155,36027,NY
OK07201,OK0720100,Broken Arrow Police Department,Broken Arrow City,119959,40143,OK
LA00300,LA0030000,Ascension Parish Sheriff's Office,Ascension Parish,119139,22005,LA
CA04803,CA0480300,Fairfield Police Department,Fairfield City,119071,06095,CA
TX05720,TX0572000,Richardson Police Department,Richardson City,119008,48113,TX
MA00911,MA0091100,Cambridge Police Department,Cambridge City,118960,25017,MA
MI58158,MI5815800,Monroe County Sheriff's Office,Monroe County,118327,26115,MI
MI81218,MI8121800,Ann Arbor Police Department,Ann Arbor City,118072,26161,MI
OH07600,OH0760000,Stark County Sheriff's Office,Stark County,117590,39151,OH
FL03100,FL0310000,Indian River County Sheriff's Office,Indian River County,117151,12061,FL
FL05203,FL0520300,Clearwater Police Department,Clearwater City,116899,12103,FL
TX07100,TX0710000,El Paso County Sheriff's Office,El Paso County,116599,48141,TX
CA00103,CA0010300,Berkeley Police Department,Berkeley City,116595,06001,CA
UT01806,UT0180600,West Jordan Police Department,West Jordan City,116485,49035,UT
ID01402,ID0140200,Nampa Police Department,Nampa City,116116,16027,ID
TX08408,TX0840800,League City Police Department,League City City,115791,48167,TX
MD01900,MD0190000,St. Mary's County Sheriff's Office,St Marys County,115684,24037,MD
VA00203,VA0020300,Albemarle County Police Department,Albemarle County,115659,51003,VA
NC04300,NC0430000,Harnett County Sheriff's Office,Harnett County,115655,37085,NC
NC04103,NC0410300,High Point Police Department,High Point City,115480,37081,NC
CT00151,CT0015100,Waterbury Police Department,Waterbury City,115380,09009,CT
CA00701,CA0070100,Antioch Police Department,Antioch City,115271,06013,CA
CA03342,CA0334200,Murrieta Police Department,Murrieta City,115037,06065,CA
NM00701,NM0070100,Las Cruces Police Department,Las Cruces City,114999,35013,NM
NH00634,NH0063400,Manchester Police Department,Manchester City,114963,33011,NH
IN08201,IN0820100,Evansville Police,Evansville City,114950,18163,IN
TX18400,TX1840000,Parker County Sheriff's Office,Parker County,114776,48367,TX
TX04301,TX0430100,Allen Police Department,Allen City,114696,48085,TX
WV00200,WV0020000,Berkeley County Sheriff's Office,Berkeley County,114185,54003,WV
AL06301,AL0630100,Tuscaloosa Police Department,Tuscaloosa City,113956,01125,AL
CA03701,CA0370100,Carlsbad Police Department,Carlsbad City,113796,06073,CA
CO00105,CO0010500,Westminster Police Dept,Westminster City,113660,08001,CO
CA00710,CA0071000,Richmond Police Department,Richmond City,113282,06013,CA
MA00926,MA0092600,Lowell Police Department,Lowell City,113124,25017,MA
IL08402,IL0840200,Springfield Police Dept,Springfield City,112781,17167,IL
UT02506,UT0250600,Provo Police Department,Provo City,112743,49049,UT
CA03338,CA0333800,Temecula,Temecula City,112632,06065,CA
CA05000,CA0500000,Stanislaus County Sheriff's Office,Stanislaus County,112568,06099,CA
MI33519,MI3351900,Lansing Police Department,Lansing City,112529,26065,MI
FL00607,FL0060700,Pompano Beach Pd,Pompano Beach City,112478,12011,FL
IL04506,IL0450600,Elgin Police Dept,Elgin City,112470,17089,IL
NM00100,NM0010000,Bernalillo County Sheriff's Office,Bernalillo County,112304,35001,NM
AZ00703,AZ0070300,Buckeye Police Department,Buckeye Town,112048,04013,AZ
TX04601,TX0460100,New Braunfels Police Department,New Braunfels City,111942,48091,TX
DE301SP,DE301SP00,Sp: Kent County,State Of Delaware,111935,10001,DE
TX06802,TX0680200,Odessa Police Department,Odessa City,111922,48135,TX
NC01301,NC0130100,Concord Police Department,Concord City,111915,37025,NC
NC04900,NC0490000,Iredell County Sheriff's Office,Iredell County,111895,37097,NC
NV01600,NV0160000,Washoe County Sheriff's Office,Washoe County,111776,32031,NV
NC03400,NC0340000,Forsyth County Sheriff's Office,Forsyth County,111773,37067,NC
WA03103,WA0310300,Everett Police Department,Everett City,111566,53061,WA
TX21200,TX2120000,Smith County Sheriff's Office,Smith County,111489,48423,TX
CO05101,CO0510100,Pueblo Police Dept,Pueblo City,111240,08101,CO
TX12900,TX1290000,Kaufman County Sheriff's Office,Kaufman County,111179,48257,TX
AL00500,AL0050000,Baldwin County Sheriff's Office,Baldwin County,111139,01003,AL
TX21204,TX2120400,Tyler Police Department,Tyler City,110824,48423,TX
SC00200,SC0020000,Aiken County Sheriff's Office,Aiken County,110756,45003,SC
TX12301,TX1230100,Beaumont Police Department,Beaumont City,110671,48245,TX
IN02000,IN0200000,Elkhart County Sheriff's Office,Elkhart County,110602,18039,IN
OR02000,OR0200000,Lane County Sheriff's Office,Lane County,110378,41039,OR
CA04204,CA0420400,Santa Maria Police Department,Santa Maria City,110317,06083,CA
OR02601,OR0260100,Gresham Police Department,Gresham City,110225,41051,OR
IL07207,IL0720700,Peoria Police Dept,Peoria City,110118,17143,IL
FL01397,FL0139700,Miami Gardens Police Department,Miami Gardens City,110010,12086,FL
NM02306,NM0230600,Rio Rancho Department Of Public Safety,Rio Rancho City,109992,35043,NM
AZ00715,AZ0071500,Goodyear Police Department,Goodyear City,109929,04013,AZ
NV01602,NV0160200,Sparks Police Department,Sparks City,109403,32031,NV
IN07100,IN0710000,St. Joseph County Sheriff's Office,St Joseph County,109381,18141,IN
WA03215,WA0321500,Spokane Valley Police Department,Spokane Valley City,109278,53063,WA
CO06202,CO0620200,Greeley Police Department,Greeley City,109183,08123,CO
CA05608,CA0560800,Ventura Police Department,San Buenaventura City,109035,06111,CA
MA01203,MA0120300,Brockton Police Department,Brockton City,108938,25023,MA
CA033A0,CA033A000,Jurupa Valley,Riverside County,108777,06065,CA
TX07905,TX0790500,Sugar Land Police Department,Sugar Land City,108718,48157,TX
NY04353,NY0435300,Ramapo Town Police Department,Ramapo Town,108558,36087,NY
MI39139,MI3913900,Kalamazoo County Sheriff's Office,Kalamazoo County,108458,26077,MI
CA03004,CA0300400,Costa Mesa Police Department,Costa Mesa City,108401,06059,CA
AL00200,AL0020000,Mobile County Sheriff's Office,Mobile County,108215,01097,AL
CA01920,CA0192000,Downey Police Department,Downey City,107969,06037,CA
GA06056,GA0605600,Sandy Springs Police Department,Sandy Springs City,107895,13121,GA
NJ01205,NJ0120500,Edison Police,Edison Township,107894,34023,NJ
KY00800,KY0080000,Boone County Sheriff's Office,Boone County,107867,21015,KY
OR03403,OR0340300,Hillsboro Police Department,Hillsboro City,107459,41067,OR
IN00200,IN0020000,Allen County Sheriff's Office,Allen County,107252,18003,IN
TX17001,TX1700100,Conroe Police Department,Conroe City,106904,48339,TX
FL00612,FL0061200,Davie Police Department,Davie Town,106759,12011,FL
MI82343,MI8234300,Dearborn Police Department,Dearborn City,106747,26163,MI
VA04200,VA0420000,Hanover County Sheriff's Office,Hanover County,106595,51085,VA
TX10804,TX1080400,Edinburg Police Department,Edinburg City,106137,48215,TX
UT02701,UT0270100,St. George Police Department,St George City,105930,49053,UT
WI00502,WI0050200,Green Bay Police Department,Green Bay City,105521,55009,WI
NC06500,NC0650000,New Hanover County Sheriff's Office,New Hanover County,105363,37129,NC
OR00901,OR0090100,Bend Police Department,Bend City,105099,41017,OR
OH02100,OH0210000,Delaware County Sheriff's Office,Delaware County,104939,39041,OH
CO00311,CO0031100,City Of Centennial Police Department,Centennial City,104724,08005,CO
TN07500,TN0750000,Rutherford County Sheriff's Office,Rutherford County,104616,47149,TN
IL09900,IL0990000,Will County Sheriff's Office,Will County,104475,17197,IL
MO04808,MO0480800,Lee's Summit Police Department,Lees Summit City,104402,29095,MO
CO00701,CO0070100,Boulder Police Department,Boulder City,104232,08013,CO
CO00300,CO0030000,Arapahoe County Sheriff's Office,Arapahoe County,104204,08005,CO
MD02200,MD0220000,Washington County Sheriff's Office,Washington County,104179,24043,MD
CA02700,CA0270000,Monterey County Sheriff's Office,Monterey County,103695,06053,CA
CA03705,CA0370500,El Cajon Police Department,El Cajon City,103569,06073,CA
CA01922,CA0192200,El Monte Police Department,El Monte City,103463,06037,CA
NJ01225,NJ0122500,Woodbridge Police,Woodbridge Township,103449,34023,NJ
CA03609,CA0360900,Rialto Police Department,Rialto City,103257,06071,CA
IN02907,IN0290700,Fishers Police,Fishers Town,103247,18057,IN
CA01975,CA0197500,West Covina Police Department,West Covina City,103014,06037,CA
IN02901,IN0290100,Carmel Police,Carmel City,103013,18057,IN
IN07102,IN0710200,South Bend Police,South Bend City,102999,18141,IN
OH08300,OH0830000,Warren County Sheriff's Office,Warren County,102918,39165,OH
WA01713,WA0171300,Renton Police Department,Renton City,102742,53033,WA
TX24305,TX2430500,Wichita Falls Police Department,Wichita Falls City,102740,48485,TX
MA01120,MA0112000,Quincy Police Department,Quincy City,102465,25021,MA
CA01912,CA0191200,Burbank Police Department,Burbank City,102345,06037,CA
CA04806,CA0480600,Vacaville Police Department,Vacaville City,101975,06095,CA
NY00101,NY0010100,Albany Police Department,Albany City,101930,36001,NY
PA028SP,PA028SP00,Sp: Franklin County,State Of Pennsylvania,101840,42055,PA
CA01933,CA0193300,Inglewood Police Department,Inglewood City,101790,06037,CA
GA10700,GA1070000,Newton County Sheriff's Office,Newton County,101715,13217,GA
AR07201,AR0720100,Fayetteville Police Department,Fayetteville City,101624,05143,AR
GA04800,GA0480000,Douglas County Sheriff's Office,Douglas County,101262,13097,GA
MA00514,MA0051400,Lynn Police Department,Lynn City,101144,25009,MA
GA03800,GA0380000,Coweta County Sheriff's Office,Coweta County,101136,13077,GA
CA03632,CA0363200,Hesperia,Hesperia City,101074,06071,CA
CA00402,CA0040200,Chico Police Department,Chico City,100896,06007,CA
MA00311,MA0031100,New Bedford Police Department,New Bedford City,100876,25005,MA
CO00100,CO0010000,Adams County Sheriff's Office,Adams County,100798,08001,CO
FL03601,FL0360100,Fort Myers Police Department,Fort Myers City,100625,12071,FL
VA12700,VA1270000,Suffolk Police Department,Suffolk City,100598,51800,VA
FL00300,FL0030000,Bay County Sheriff's Office,Bay County,100590,12005,FL
NJ01507,NJ0150700,Toms River Police,Toms River Township,100329,34029,NJ
SC02900,SC0290000,Lancaster County Sheriff's Office,Lancaster County,100080,45057,SC
WI06800,WI0680000,Waukesha County Sheriff's Office,Waukesha County,100067,55133,WI
IA08202,IA0820200,Davenport Police Department,Davenport City,99911,19163,IA
MI74174,MI7417400,St. Clair County Sheriff's Office,St Clair County,99889,26147,MI
AZ01405,AZ0140500,Yuma Police Department,Yuma City,99610,04027,AZ
WI00500,WI0050000,Brown County Sheriff's Office,Brown County,99570,55009,WI
FL05002,FL0500200,Boca Raton Police Department,Boca Raton City,99395,12099,FL
CA03906,CA0390600,Tracy Police Department,Tracy City,99347,06077,CA
NC02600,NC0260000,Cumberland County Sheriff's Office,Cumberland County,99182,37051,NC
LA05300,LA0530000,Tangipahoa Parish Sheriff's Office,Tangipahoa Parish,99165,22105,LA
MI50849,MI5084900,Clinton Township Police Department,Clinton Charter Township,99012,26099,MI
MI82908,MI8290800,Canton Township Dept Of Public Safety,Canton Charter Township,98915,26163,MI
CA04116,CA0411600,San Mateo Police Department,San Mateo City,98883,06081,CA
IL02200,IL0220000,Du Page County Sheriff's Office,Dupage County,98858,17043,IL
TX22601,TX2260100,San Angelo Police Department,San Angelo City,98642,48451,TX
PA036SP,PA036SP00,Sp: Lancaster County,State Of Pennsylvania,98550,42071,PA
CO00704,CO0070400,Longmont Police Department,Longmont City,98444,08013,CO
FL00606,FL0060600,Plantation Police Department,Plantation City,98106,12011,FL
NB07700,NB0770000,Sarpy County Sheriff's Office,Sarpy County,98019,31153,NE
PA00614,PA0061400,Reading Police Department,Reading City,97790,42011,PA
WI03001,WI0300100,Kenosha Police Department,Kenosha City,97786,55059,WI
OR02400,OR0240000,Marion County Sheriff's Office,Marion County,97779,41047,OR
NC07600,NC0760000,Randolph County Sheriff's Office,Randolph County,97776,37151,NC
CA04106,CA0410600,Daly City Police Department,Daly City City,97774,06081,CA
AZ01300,AZ0130000,Yavapai County Sheriff's Office,Yavapai County,97526,04025,AZ
CA03713,CA0371300,Vista Pd,Vista  City,97457,06073,CA
OK05503,OK0550300,Edmond Police Department,Edmond City,97063,40109,OK
WA03905,WA0390500,Yakima Police Department,Yakima City,96991,53077,WA
VA12300,VA1230000,Roanoke City Police Department,Roanoke City,96925,51770,VA
OR03401,OR0340100,Beaverton Police Department,Beaverton City,96840,41067,OR
CA01949,CA0194900,Norwalk Pd,Norwalk City,96656,06037,CA
VA12000,VA1200000,Portsmouth Police Department,Portsmouth City,96649,51740,VA
TN00500,TN0050000,Blount County Sheriff's Office,Blount County,96453,47009,TN
WA01736,WA0173600,Federal Way Police Department,Federal Way City,96340,53033,WA
SC01003,SC0100300,Mount Pleasant Police Department,Mount Pleasant Town,96320,45019,SC
KS02301,KS0230100,Lawrence Police Department,Lawrence City,96232,20045,KS
FL00627,FL0062700,Sunrise Police Department,Sunrise City,95911,12011,FL
TX03100,TX0310000,Cameron County Sheriff's Office,Cameron County,95894,48061,TX
FL03700,FL0370000,Leon County Sheriff's Office,Leon County,95737,12073,FL
MD00500,MD0050000,Calvert County Sheriff's Office,Calvert County,95716,24009,MD
TX04300,TX0430000,Collin County Sheriff's Office,Collin County,95286,48085,TX
